nonstationary level,time series length,observation noise,process noise,evidence,significance_level,bayes factor error
0,100,0.1,0.1,-18.770703617686845,-74.34776277394216,nan
1,100,0.1,0.1,3.9373801659320495,0.5961110388965061,nan
2,100,0.1,0.1,112.5388963197876,0.9999999999944267,nan
0,200,0.1,0.1,-18.79773287652123,-74.81816823124723,nan
1,200,0.1,0.1,22.99655792007787,0.9949841538385767,nan
2,200,0.1,0.1,173.22193293566158,1.0,nan
0,100,0.0,0.1,-18.80813341311389,-74.99995608125394,nan
1,100,0.0,0.1,92.90115480340708,0.9999999994872749,nan
2,100,0.0,0.1,188.45263370317215,1.0,nan
0,100,0.1,0.1,-18.641085842058047,-72.13219089292512,nan
1,100,0.1,0.1,-10.979355441768984,-11.529552037728925,nan
2,100,0.1,0.1,92.52916428943017,0.9999999994414224,nan
0,100,0.2,0.1,-4.7061272854889244,-1.9553759072120371,nan
1,100,0.2,0.1,-11.320596073008984,-12.553754260587926,nan
2,100,0.2,0.1,30.82825354082975,0.9991736298031296,nan
0,100,0.3,0.1,-18.771883186859988,-74.36823044574281,nan
1,100,0.3,0.1,-8.055989359672356,-5.391443232636978,nan
2,100,0.3,0.1,-1.951453892931301,-0.5672756610779051,nan
0,100,0.1,0.0,-18.687921568166402,-72.92514019532084,nan
1,100,0.1,0.0,-7.209059429058923,-4.259033568192207,nan
2,100,0.1,0.0,132.3122191170169,0.9999999999999413,nan
0,100,0.1,0.1,-18.791102762433166,-74.70250947588102,nan
1,100,0.1,0.1,6.479957819079516,0.7750923550079584,nan
2,100,0.1,0.1,107.54326455265486,0.9999999999823935,nan
0,100,0.1,0.2,-18.651308363790655,-72.30453385056867,nan
1,100,0.1,0.2,-11.863128310967943,-14.357227966643487,nan
2,100,0.1,0.2,73.61690581358363,0.9999999565180093,nan
0,50,0.1,0.1,-18.773254857372102,-74.39203841730308,nan
1,50,0.1,0.1,-15.931893614358373,-38.19127219652628,nan
2,50,0.1,0.1,26.36560790795995,0.9976909187796112,nan
0,100,0.1,0.1,-18.666811670014688,-72.56668166806874,nan
1,100,0.1,0.1,11.907191565742215,0.9355414037478873,nan
2,100,0.1,0.1,61.85438283132182,0.9999993475282439,nan
0,200,0.1,0.1,-18.793535262512954,-74.74492261907932,nan
1,200,0.1,0.1,14.3828013677143,0.963548125763961,nan
2,200,0.1,0.1,220.44859402088474,1.0,nan
0,100,0.0,0.1,-18.80002038511795,-74.85811356845174,nan
1,100,0.0,0.1,140.69279774752061,0.9999999999999915,nan
2,100,0.0,0.1,196.91806338286125,1.0,nan
0,100,0.1,0.1,-18.739535620835095,-73.80895050776653,nan
1,100,0.1,0.1,-0.0296914652769047,-0.006860136202579525,nan
2,100,0.1,0.1,45.05802279879228,0.9999687969016388,nan
0,100,0.2,0.1,-18.78827991415723,-74.65331998061968,nan
1,100,0.2,0.1,-13.371698508468459,-20.73551079850402,nan
2,100,0.2,0.1,44.699228872666986,0.9999661095673815,nan
0,100,0.3,0.1,-18.746195176732535,-73.92375200170636,nan
1,100,0.3,0.1,-18.574936393364506,-71.02672021499252,nan
2,100,0.3,0.1,14.62504854972126,0.965525724732295,nan
0,100,0.1,0.0,-18.628392535447645,-71.91875643626855,nan
1,100,0.1,0.0,-9.249155378858978,-7.412315220152763,nan
2,100,0.1,0.0,67.98358300625347,0.9999998409104331,nan
0,100,0.1,0.1,-18.78427886052552,-74.58365443936056,nan
1,100,0.1,0.1,7.800459452219308,0.834058865559338,nan
2,100,0.1,0.1,104.01366752659312,0.9999999999603144,nan
0,100,0.1,0.2,-18.79844795606528,-74.83065295925854,nan
1,100,0.1,0.2,-16.85128376089667,-47.431550857564645,nan
2,100,0.1,0.2,34.20975776226251,0.9996206638572704,nan
0,50,0.1,0.1,-18.72266284932897,-73.51887416544494,nan
1,50,0.1,0.1,-16.019333621597053,-38.98833872274109,nan
2,50,0.1,0.1,19.03580526034317,0.9875141108779071,nan
0,100,0.1,0.1,-18.781694184194123,-74.53868468521587,nan
1,100,0.1,0.1,-0.6314294998102152,-0.15649284436876099,nan
2,100,0.1,0.1,41.28425697330893,0.9999255997657945,nan
0,200,0.1,0.1,-18.78142465490992,-74.53399679331473,nan
1,200,0.1,0.1,48.365556800305676,0.9999854305109976,nan
2,200,0.1,0.1,213.2562826495395,1.0,nan
0,100,0.0,0.1,-18.80798755284846,-74.99740362247852,nan
1,100,0.0,0.1,116.89008118286169,0.9999999999979536,nan
2,100,0.0,0.1,264.0585666559069,1.0,nan
0,100,0.1,0.1,-18.605717198425985,-71.53902599027734,nan
1,100,0.1,0.1,-16.6436734682862,-45.17079438729596,nan
2,100,0.1,0.1,19.584307953264457,0.9889955281280118,nan
0,100,0.2,0.1,-18.771639648786277,-74.36400416155287,nan
1,100,0.2,0.1,11.550716500601252,0.9300273454658612,nan
2,100,0.2,0.1,24.51127219584249,0.996461063415579,nan
0,100,0.3,0.1,-18.763226564745516,-74.21815152153408,nan
1,100,0.3,0.1,-10.903874659262414,-11.31366873495547,nan
2,100,0.3,0.1,-13.42772544976911,-21.01773016439863,nan
0,100,0.1,0.0,-18.76348600498855,-74.2226450620282,nan
1,100,0.1,0.0,-11.520866659990476,-13.193407311583718,nan
2,100,0.1,0.0,97.29287351000013,0.9999999998134855,nan
0,100,0.1,0.1,-18.8075298221538,-74.98939419277382,nan
1,100,0.1,0.1,-8.585029224421074,-6.2194302099931065,nan
2,100,0.1,0.1,126.14710790843037,0.9999999999997572,nan
0,100,0.1,0.2,-18.79274840077144,-74.73120027508244,nan
1,100,0.1,0.2,-6.937287684639424,-3.9400206968963767,nan
2,100,0.1,0.2,3.441112680637607,0.5472184394887389,nan
0,50,0.1,0.1,-18.529996763686036,-70.28524989166027,nan
1,50,0.1,0.1,-17.858357806996423,-60.071105373298856,nan
2,50,0.1,0.1,0.2057799360879221,0.046277548617335795,nan
0,100,0.1,0.1,-18.77900630447198,-74.49194771546269,nan
1,100,0.1,0.1,-13.4960112195768,-21.36665927668245,nan
2,100,0.1,0.1,52.98827332432122,0.9999949745764851,nan
0,200,0.1,0.1,-18.80477917006563,-74.94128070853465,nan
1,200,0.1,0.1,42.46620376159494,0.999943326553564,nan
2,200,0.1,0.1,155.7419637504416,0.9999999999999998,nan
0,100,0.0,0.1,-18.7961689920662,-74.79087119809076,nan
1,100,0.0,0.1,63.225027143073255,0.9999995241201832,nan
2,100,0.0,0.1,232.97915631194445,1.0,nan
0,100,0.1,0.1,-18.75287122156395,-74.03901457091365,nan
1,100,0.1,0.1,-2.3738644864046043,-0.727374279299241,nan
2,100,0.1,0.1,51.094917052948816,0.9999922284383824,nan
0,100,0.2,0.1,-18.655597151809154,-72.3769600278021,nan
1,100,0.2,0.1,-14.105787940523278,-24.738236909263616,nan
2,100,0.2,0.1,51.67921010173379,0.9999932067282205,nan
0,100,0.3,0.1,-18.64870592118441,-72.26062039938618,nan
1,100,0.3,0.1,-14.842132401719763,-29.493918846263213,nan
2,100,0.3,0.1,-8.329844819652754,-5.807450341530158,nan
0,100,0.1,0.0,-16.87421515790539,-47.68795300159836,nan
1,100,0.1,0.0,-14.244522166302078,-25.573711554771407,nan
