# PSEUDOCALANUS, OIKOPLEURA, ACARTIA LONGIREMIS, PARACALANUS PARVUS
0.7503533933,-1.2391998327,0.5235267409,-0.5523859162
0.4901462253,-0.9834076777,1.1292411164,-0.2354698089
1.7930468473,1.2207562119,1.1469477663,0.3461012482
0.2073995843,0.7597888555,-0.2950750049,0.9981673225
-0.3217081349,0.4845091343,-0.9115322191,1.6214985651
-0.7786025332,0.1431758805,-0.9090672822,0.1998315372
0.7320994061,-0.6690327324,-0.8642074170,1.1455332881
-0.2577276225,-1.5347666352,-0.8359247335,-0.0471886651
0.1501736880,0.1678671329,-0.8889067159,-0.3601413139
0.3956791595,-0.7350860983,-1.1032185591,-1.0174921810
0.8771105116,-0.8933415838,-0.5023925713,-0.5667558391
0.8559504895,-0.0946097007,0.6675206758,-0.5933990786
0.3346000666,0.2690874151,1.6677469966,2.1218862099
0.9084423420,0.1547418507,0.4448391741,1.9132634036
0.3931052161,0.7861875333,0.1544434444,3.6673432666
-0.1951556349,0.9785181995,-0.0828900994,1.1541146783
-1.0121996473,0.1182656078,-0.5525090770,0.1692312312
-0.5424725763,-1.0982038232,-0.6859062002,-0.7085221108
       nan,       nan,       nan,       nan
-0.0562319197,-1.0261075973,-0.9344481473,-0.4473120495
0.6671940747,0.1217018778,-0.6362681594,-0.5544874195
0.5409204911,-0.5224461925,0.2299070934,-0.9768745903
1.0511805030,-1.2272585640,0.7057387574,-0.9158307194
0.9954434017,-0.8996319351,1.3343246975,-1.2785158411
0.7763751036,-0.7560529694,1.0643790619,-1.2785158411
1.5984514200,-1.0494088420,1.6790840510,-1.2785158411
-0.0634391334,0.0471704901,0.3996837610,-0.4534807819
0.2893311960,1.3591312406,0.6269279627,0.7270446026
-0.3259294489,0.5637630596,0.1386699511,0.9349043948
-0.6797588169,0.0339465495,-0.3562444789,0.8880532367
0.0461310660,-0.9418733122,-0.6465748220,-0.1144856243
-0.3292258165,0.1690563411,-0.7527066148,-0.0426273849
0.5978334183,-0.2829779411,-0.8283720723,-0.7404387504
0.0989848703,-0.6653965774,-0.0768197018,-0.9962872745
0.4906916324,2.1049460008,0.7712871322,-0.9726247816
0.7880406792,1.1834477642,0.9873858837,-1.2785158411
0.2162432147,-0.5827928084,0.4039345574,-0.9896142828
1.1603916851,0.3575314150,1.9614703456,-0.7379344722
0.1853019928,0.3968535721,0.4481078864,0.3312023607
-0.3117596032,1.0685857013,0.4477474958,0.9640806714
-0.8273430061,-0.3323118024,0.4106056168,2.6805148505
-0.6927094474,-0.4294656639,-0.0902328685,0.6882993530
       nan,       nan,       nan,       nan
-0.9587962739,1.8287495187,-1.1032185591,0.9176591736
-0.6389799327,-0.2864727407,-0.8979733612,-0.3330245362
-0.9624709084,-1.1190564857,-0.9289562499,0.0440453650
0.7205315792,0.3257982452,-0.3090883138,2.2102422236
1.7097276423,-0.3106534712,0.5989573000,3.0097070852
0.9954095467,-0.5994831653,0.7662705856,0.1392113659
0.9665869904,0.1543586073,2.0213033860,0.5528248801
0.7617847313,0.7759538699,1.4279140375,0.0648751473
-0.2393981212,-0.8773269117,0.1774754606,0.6385576427
-0.4567337329,-1.5347666352,-0.4399068948,0.1385764388
       nan,       nan,       nan,       nan
-0.1657112861,-0.2770574918,-0.8110432972,0.0986873781
0.0330114164,-0.5379356446,-0.9279409138,-0.0665488860
0.9345416620,0.4118387105,1.5618298995,-0.8683725236
0.4250026343,-0.8445543423,1.2910108200,-0.8949805475
1.6266584430,0.2992632700,0.3156022287,-0.7120432980
0.7717055601,0.1819779132,-0.3023479142,-1.2785158411
0.2746985704,-1.5347666352,1.5647365766,-0.6821906591
-0.1599620609,-1.5347666352,0.6081824080,-0.7241390373
-0.0228885029,0.1305480181,2.6700053241,2.7812279952
-0.5609934765,-0.9827588222,0.3554331824,1.5331015788
-0.9181177780,-0.7406119753,-0.1616262147,0.6891505854
-0.8005152513,-0.3595798221,-0.7064616438,-0.1157055810
-0.2381623267,-0.7787539362,-0.2068493687,0.4286111270
0.3352891239,-0.1276458357,-0.2955282812,-0.3178247566
1.2204637676,-0.7682131072,0.0281060521,0.0276897317
1.2171343273,-0.3972953883,-0.5925895888,-0.3516826516
0.9603626181,-0.3810004716,-0.2604447682,-0.7209062417
1.6438767439,-0.5523255448,0.6315490303,-0.8294940403
1.9033986413,-1.5347666352,2.4651169791,-0.7842796595
1.3169941900,-1.5347666352,1.9381420250,-0.5901699501
0.5151671654,-0.7783729372,0.8881108069,-0.6509589096
0.1757831374,0.9126292299,0.5538871907,-0.1945759471
-1.0870801398,1.1928932290,-0.4834193270,1.1885833140
-1.1478601645,0.2844728759,-1.1032185591,0.4332724847
-0.9168511957,0.1747497629,-0.9429784950,0.8093406203
-1.1004354262,-1.1852133129,-0.6887693985,-0.3239062285
-0.3954107403,-1.1154356329,-0.5399508424,0.8387559138
0.6624275653,-0.5845740426,-0.5617801785,-0.4701485210
0.6690420805,-1.5347666352,1.0002929891,-0.8818229216
0.2568132862,1.7507781190,2.1744440115,0.3718166413
0.7079650271,-1.1578031454,0.6198419607,-0.4004027170
2.0439785387,-0.8062071263,1.2896808425,-1.2785158411
0.6175751333,1.6803317096,0.1168206516,3.0587819320
-0.4417940701,1.3670419414,-0.2442810073,1.3109181784
-0.5090718214,2.0370742599,-0.1340970603,0.3854679044
-0.6121305321,1.5875408137,-0.8260032275,0.0060950107
-1.0212168634,-1.3609950515,-0.6425149766,-0.8578633657
0.6008777961,-0.8349898226,0.1044635288,-0.3781015580
0.4886359402,0.2921200202,-0.0201911744,-0.8881367399
0.2537066158,0.0247494413,-0.1248540347,-0.6786095454
0.5976312145,0.1608915918,0.6038690177,0.5026675487
0.1109754240,-0.4044018424,0.3845991812,-0.7042625546
0.7916550690,0.2334046561,0.8908615152,-0.3176615454
0.8393441837,-1.5347666352,1.5678246750,-0.4048052571
0.7846497597,1.5272728960,0.8659445112,0.5166908983
0.1283107948,-0.0262331348,0.3667242402,0.6719772079
-1.5427937866,1.1222104623,-0.9259891340,1.1643470844
-1.4895929985,0.0593599914,-0.9103128728,-0.0106071575
-1.1704026962,1.3658628956,-1.1032185591,0.6683827524
-1.4063864257,-0.7168981311,-1.1032185591,0.5602436443
-1.3212815331,0.0083315621,-1.1032185591,0.4783008044
-0.9130811168,0.8355044629,-1.1032185591,0.7753908281
-1.0423957884,0.6211266404,-0.4359407640,-0.0510596983
-0.5156782555,-0.0413024140,0.9020209768,-0.4168414078
-0.2255681582,-0.0263575482,1.7835424650,0.1099361003
0.0349396124,1.7184413531,1.5680920963,0.6509547030
-0.1498690678,1.1585976641,-0.1584517740,0.9424426899
-1.3023662545,1.5642578189,-0.8252189330,3.4575859822
-1.6414410389,-0.4688540086,-1.1032185591,2.4183878019
       nan,       nan,       nan,       nan
-1.6414410389,-0.1037976581,-1.1032185591,0.2907902989
-1.6414410389,4.3217760474,-1.1032185591,1.2698491243
-1.6414410389,1.9351724297,-1.1032185591,0.1633072557
-1.5351861008,1.0325414355,-1.1032185591,0.5564780207
-1.6414410389,2.4812528600,-0.2548230407,0.8152330125
