nonstationary level,time series length,observation noise,process noise,evidence,significance_level,bayes factor error
0,200,0.2,0.1,31.505049646583192,0.9992928768828769,nan
1,200,0.2,0.1,-14.697377425040333,-28.494276173427856,nan
2,200,0.2,0.1,44.28370916972006,0.9999627068487088,nan
0,200,0.3,0.1,27.240786637731528,0.9981123505918673,nan
1,200,0.3,0.1,-8.892314563015855,-6.748746555428974,nan
2,200,0.3,0.1,-7.296594051104903,-4.366107949803329,nan
0,200,0.1,0.0,-18.808135922618558,-74.99999999668636,nan
1,200,0.1,0.0,-18.787514993600126,-74.639996375053,nan
2,200,0.1,0.0,-18.042078873759586,-62.71004141188078,nan
0,200,0.1,0.1,-15.77077339499612,-36.76394352625537,nan
1,200,0.1,0.1,-18.80445481541644,-74.93560921403264,nan
2,200,0.1,0.1,27.01929940171436,0.9980135846625148,nan
0,200,0.1,0.2,-17.554384933216923,-55.94275736010116,nan
1,200,0.1,0.2,7.29018627207347,0.813370035783597,nan
2,200,0.1,0.2,9.487800900138435,0.8874825425221338,nan
0,100,0.1,0.1,-18.30864843466799,-66.74306520029207,nan
1,100,0.1,0.1,0.7410023241793572,0.15685985610197772,nan
2,100,0.1,0.1,-17.348703002569984,-53.308811688645555,nan
0,200,0.1,0.1,20.496431076001645,0.991080163530002,nan
1,200,0.1,0.1,-18.73958844397168,-73.80986041282107,nan
2,200,0.1,0.1,15.899354817238336,0.9742922233389897,nan
0,400,0.1,0.1,-18.808123059259334,-74.99977489277784,nan
1,400,0.1,0.1,-17.673982002178263,-57.53265181457024,nan
2,400,0.1,0.1,71.32301763125132,0.9999999262608313,nan
0,200,0.0,0.1,-18.596507871143952,-71.38536807708596,nan
1,200,0.0,0.1,-16.201072218572385,-40.69723159953052,nan
2,200,0.0,0.1,-13.246566128962236,-20.118186109667867,nan
0,200,0.1,0.1,-18.80807910613698,-74.99900573483535,nan
1,200,0.1,0.1,-17.18267982194966,-51.27186339840761,nan
2,200,0.1,0.1,2.0705760307540015,0.3792133098834194,nan
0,200,0.2,0.1,-17.93896586784061,-61.21521220790547,nan
1,200,0.2,0.1,-17.982622499240016,-61.84377281203486,nan
2,200,0.2,0.1,36.83117667966408,0.999792564858451,nan
0,200,0.3,0.1,-17.442217632247345,-54.49089930815051,nan
1,200,0.3,0.1,-18.608624687616626,-71.58760525082867,nan
2,200,0.3,0.1,4.533796890574214,0.64793706033094,nan
0,200,0.1,0.0,-18.808135922199064,-74.99999998934533,nan
1,200,0.1,0.0,-18.144371005705537,-64.22845629428997,nan
2,200,0.1,0.0,-17.36747799603631,-53.54410244801786,nan
0,200,0.1,0.1,-18.550218212255537,-70.6179393906306,nan
1,200,0.1,0.1,-2.6237103386557608,-0.8296626972323191,nan
2,200,0.1,0.1,29.52176963671291,0.998883591752149,nan
0,200,0.1,0.2,21.624973022098434,0.9931213581476684,nan
1,200,0.1,0.2,-18.54826532406609,-70.5857422541817,nan
2,200,0.1,0.2,43.63428590802518,0.9999566916728073,nan
0,100,0.1,0.1,22.877800173883458,0.9948451031122421,nan
1,100,0.1,0.1,-18.077309007014257,-63.228961591071496,nan
2,100,0.1,0.1,-12.246283231206052,-15.773678826492421,nan
0,200,0.1,0.1,-16.15293519404938,-40.23761307490577,nan
1,200,0.1,0.1,-15.075689384226349,-31.17873286371048,nan
2,200,0.1,0.1,-18.47225645109264,-69.34377080190878,nan
0,400,0.1,0.1,-18.808135910285724,-74.9999997808661,nan
1,400,0.1,0.1,10.33403569315569,0.9074031035687468,nan
2,400,0.1,0.1,1.719766730376133,0.3269871956101653,nan
0,200,0.0,0.1,-18.807287873024837,-74.98516087727634,nan
1,200,0.0,0.1,-13.926806946205115,-23.699075325874894,nan
2,200,0.0,0.1,-18.79292845632375,-74.73434010446798,nan
0,200,0.1,0.1,6.779783847250807,0.7900955647419197,nan
1,200,0.1,0.1,-18.773708350732026,-74.3999113181483,nan
2,200,0.1,0.1,-18.05771728652584,-62.939867012216816,nan
0,200,0.2,0.1,-9.21080561722878,-7.338358470091064,nan
1,200,0.2,0.1,10.469744382594701,0.9102518383006551,nan
2,200,0.2,0.1,19.826277441630722,0.9895918808370264,nan
0,200,0.3,0.1,-1.5599576627052145,-0.4321739376258005,nan
1,200,0.3,0.1,-15.548133315455479,-34.876769596866595,nan
2,200,0.3,0.1,4.253750588394299,0.624487030620795,nan
0,200,0.1,0.0,-18.808135922709635,-74.99999999828015,nan
1,200,0.1,0.0,-14.890357286542377,-29.834416092116467,nan
2,200,0.1,0.0,-16.08587114427789,-39.60571054212242,nan
0,200,0.1,0.1,-18.21679824568073,-65.3253918648208,nan
1,200,0.1,0.1,-18.48085620002599,-69.48320110279495,nan
2,200,0.1,0.1,-4.337927647975145,-1.7151433565598153,nan
0,200,0.1,0.2,6.2953822402509,0.7653277291020857,nan
1,200,0.1,0.2,1.2686899007305836,0.25332603276749954,nan
2,200,0.1,0.2,-8.76464541462764,-6.524272947615528,nan
0,100,0.1,0.1,-17.4583613906507,-54.69755603165573,nan
1,100,0.1,0.1,33.671934515732225,0.9995706548627794,nan
2,100,0.1,0.1,-18.432181413331964,-68.69765098255017,nan
0,200,0.1,0.1,-13.49913655721001,-21.382760913564443,nan
1,200,0.1,0.1,-18.757518745486543,-74.11935919843621,nan
2,200,0.1,0.1,23.670237616188096,0.9957048707388284,nan
0,400,0.1,0.1,-18.80806644191219,-74.99878411859814,nan
1,400,0.1,0.1,-12.355452891801084,-16.200667042104634,nan
2,400,0.1,0.1,98.11767077149386,0.9999999998457473,nan
0,200,0.0,0.1,-18.80812648406208,-74.99983482546205,nan
1,200,0.0,0.1,-18.729184099354818,-73.63085376971446,nan
2,200,0.0,0.1,-7.338761514958954,-4.418463491122736,nan
0,200,0.1,0.1,-16.52718993931569,-43.948892329556436,nan
1,200,0.1,0.1,-18.29818924380637,-66.58011467464688,nan
2,200,0.1,0.1,-15.970363458752315,-38.53997094758129,nan
0,200,0.2,0.1,-18.417164942867206,-68.45707565316296,nan
1,200,0.2,0.1,-18.528987546624865,-70.2686864916998,nan
2,200,0.2,0.1,-11.736860960719502,-13.917158217967593,nan
0,200,0.3,0.1,-17.509599480590893,-55.35856778660639,nan
1,200,0.3,0.1,-9.879004429314874,-8.725242581011175,nan
2,200,0.3,0.1,-11.293581798989152,-12.469707963649949,nan
0,200,0.1,0.0,-18.80813592280515,-74.99999999995163,nan
1,200,0.1,0.0,-15.36904655786647,-33.42743411093484,nan
2,200,0.1,0.0,-12.503949647741406,-16.798973840813527,nan
0,200,0.1,0.1,-18.807792392849436,-74.99398858485016,nan
1,200,0.1,0.1,-14.213007107609519,-25.38157445737368,nan
2,200,0.1,0.1,0.7025397222905916,0.14935955557361036,nan
